City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.19,168.86,50.0,79,84,23.0,NZ,2020-01-06 01:26:39
1,Port Alfred,-33.59,26.89,68.0,92,72,3.56,ZA,2020-01-06 01:26:48
2,Lavrentiya,65.58,-170.99,-11.85,83,8,6.22,RU,2020-01-06 01:26:38
3,Nokaneng,-19.66,22.19,71.78,79,100,5.88,BW,2020-01-06 01:28:50
4,Vaini,15.34,74.49,66.2,88,75,4.7,IN,2020-01-06 01:26:45
5,Yanam,16.73,82.22,73.4,83,49,11.41,IN,2020-01-06 01:27:06
6,Hermanus,-34.42,19.24,63.0,93,100,8.08,ZA,2020-01-06 01:25:37
7,Omboue,-1.57,9.26,76.15,92,94,1.63,GA,2020-01-06 01:29:48
8,Atuona,-9.8,-139.03,80.55,75,34,9.46,PF,2020-01-06 01:26:40
9,Pevek,69.7,170.27,-6.74,80,0,5.28,RU,2020-01-06 01:27:38
10,Punta Arenas,-53.16,-70.91,48.2,61,40,17.22,CL,2020-01-06 01:22:32
11,Hilo,19.71,-155.08,80.6,61,90,17.22,US,2020-01-06 01:22:34
12,Jamestown,-33.21,138.6,65.23,70,70,6.46,AU,2020-01-06 01:26:41
13,Mondlo,-27.96,30.72,67.39,90,73,6.82,ZA,2020-01-06 01:29:49
14,Tall Kayf,37.08,41.07,42.8,87,90,6.93,TR,2020-01-06 01:29:49
15,Juneau,58.3,-134.42,19.4,92,20,2.86,US,2020-01-06 01:25:16
16,Albany,42.65,-73.75,30.2,63,75,6.93,US,2020-01-06 01:25:20
17,Provideniya,64.42,-173.23,-10.28,76,99,9.1,RU,2020-01-06 01:27:30
18,Boguchany,58.38,97.46,19.45,94,82,5.19,RU,2020-01-06 01:29:49
19,Koungheul,13.98,-14.8,67.55,13,0,10.38,SN,2020-01-06 01:25:06
20,Raudeberg,61.99,5.14,48.0,93,100,18.34,NO,2020-01-06 01:29:50
21,Ushuaia,-54.81,-68.31,48.2,70,75,25.28,AR,2020-01-06 01:26:45
22,Hobart,-42.88,147.33,75.0,59,20,12.75,AU,2020-01-06 01:24:09
23,Kruisfontein,-34.0,24.73,63.99,85,100,4.09,ZA,2020-01-06 01:27:11
24,Upernavik,72.79,-56.15,-27.65,93,100,12.19,GL,2020-01-06 01:27:07
25,Haines Junction,60.75,-137.51,-6.66,87,44,4.76,CA,2020-01-06 01:26:43
26,Bobrovytsya,50.75,31.38,33.01,88,75,11.18,UA,2020-01-06 01:29:50
27,Ukiah,39.15,-123.21,51.01,87,1,3.36,US,2020-01-06 01:29:50
28,Kaitangata,-46.28,169.85,54.0,59,98,32.99,NZ,2020-01-06 01:27:05
29,Kapaa,22.08,-159.32,82.4,74,75,17.22,US,2020-01-06 01:26:48
30,Victoria,5.28,115.24,84.2,70,75,4.7,BN,2020-01-06 01:25:22
31,Mnogovershinnyy,53.94,139.92,10.49,94,100,5.17,RU,2020-01-06 01:29:51
32,Pisco,-13.71,-76.2,70.0,83,28,17.22,PE,2020-01-06 01:27:03
33,Barrow,-38.31,-60.23,61.95,89,100,4.38,AR,2020-01-06 01:27:02
34,Upington,-28.46,21.24,73.4,33,0,8.05,ZA,2020-01-06 01:29:51
35,Saint-Pierre,48.95,4.24,28.99,100,90,3.36,FR,2020-01-06 01:27:00
36,Port Lincoln,-34.72,135.86,65.57,61,70,9.24,AU,2020-01-06 01:27:02
37,New Norfolk,-42.78,147.06,75.0,59,20,12.75,AU,2020-01-06 01:26:49
38,Rikitea,-23.12,-134.97,76.37,77,83,14.54,PF,2020-01-06 01:26:38
39,Saint-Joseph,43.56,6.97,51.01,86,0,5.82,FR,2020-01-06 01:26:03
40,Avarua,-21.21,-159.78,80.6,88,100,4.7,CK,2020-01-06 01:26:45
